ZIYECH, AJAX, MOROCCO 
ALBIOL, NAPOLI, SPAIN 
GHOULAM, NAPOLI, ALGERIA 
ALLAN, NAPOLI, BRAZIL 
VERDI, NAPOLI, ITALY 
ZIELIŃSKI, NAPOLI, POLAND 
MILIK, NAPOLI, POLAND 
HYSAJ, NAPOLI, ALBANIA 
DIAWARA, NAPOLI, GUINEA 
OSPINA, NAPOLI, COLOMBIA 
KARNEZIS, NAPOLI, GREECE 
CHIRICHEŞ, NAPOLI, ROMANIA 
MÁRIO RUI, NAPOLI, PORTUGAL 
FABIÁN RUIZ, NAPOLI, SPAIN 
MALCUIT, NAPOLI, FRANCE 
MAKSIMOVIĆ, NAPOLI, SERBIA 
MERET, NAPOLI, ITALY 
YOUNES, NAPOLI, GERMANY 
ROG, NAPOLI, CROATIA 
LUPERTO, NAPOLI, ITALY 
OUNAS, NAPOLI, ALGERIA 
D'ANDREA, NAPOLI, ITALY 
KANE, Tottenham, ENGLAND 
LLORIS, Tottenham, FRANCE 
ERIKSEN, Tottenham, DENMARK 
ALDERWEIRELD, Tottenham, BELGIUM 
DEMBÉLÉ, Tottenham, BELGIUM 
VERTONGHEN, Tottenham, BELGIUM 
SON HEUNG-MIN, Tottenham, REPUBLIC OF KOREA 
ALLI, Tottenham, ENGLAND 
ROSE, Tottenham, ENGLAND 
WANYAMA, Tottenham, KENYA 
DIER, Tottenham, ENGLAND 
SÁNCHEZ, Tottenham, COLOMBIA 
LUCAS MOURA, Tottenham, BRAZIL 
DAVIES, Tottenham, WALES 
TRIPPIER, Tottenham, ENGLAND 
LAMELA, Tottenham, ARGENTINA 
AURIER, Tottenham, CÔTE D'IVOIRE 
SISSOKO, Tottenham, FRANCE 
VORM, Tottenham, NETHERLANDS 
LLORENTE, Tottenham, SPAIN 
JANSSEN, Tottenham, NETHERLANDS 
WINKS, Tottenham, ENGLAND 
N'KOUDOU, Tottenham, FRANCE 
FOYTH, Tottenham, ARGENTINA 
GAZZANIGA, Tottenham, ARGENTINA 
ALKER-PETERS, Tottenham, ENGLAND 
AMOS, Tottenham, ENGLAND 
SKIPP, Tottenham, ENGLAND 
WHITEMAN, Tottenham, ENGLAND 
FEKIR, OLYMPIQUE LYONNAIS, FRANCE 
ANTHONY LOPES, OLYMPIQUE LYONNAIS, PORTUGAL 
DEPAY, OLYMPIQUE LYONNAIS, NETHERLANDS 
MARCELO, OLYMPIQUE LYONNAIS, BRAZIL 
DUBOIS, OLYMPIQUE LYONNAIS, FRANCE 
RAFAEL, OLYMPIQUE LYONNAIS, BRAZIL 
TRAORÉ, OLYMPIQUE LYONNAIS, BURKINA FASO 
TOUSART, OLYMPIQUE LYONNAIS, FRANCE 
NDOMBÈLÉ, OLYMPIQUE LYONNAIS, FRANCE 
FERNANDO MARÇAL, OLYMPIQUE LYONNAIS, BRAZIL 
TETE, OLYMPIQUE LYONNAIS, NETHERLANDS 
AOUAR, OLYMPIQUE LYONNAIS, FRANCE 
DEMBÉLÉ, OLYMPIQUE LYONNAIS, FRANCE 
CORNET, OLYMPIQUE LYONNAIS, CÔTE D'IVOIRE 
MENDY, OLYMPIQUE LYONNAIS, FRANCE 
MOREL, OLYMPIQUE LYONNAIS, FRANCE 
DENAYER, OLYMPIQUE LYONNAIS, BELGIUM 
TERRIER, OLYMPIQUE LYONNAIS, FRANCE 
FERRI, OLYMPIQUE LYONNAIS, FRANCE 
YANGA-MBIWA, OLYMPIQUE LYONNAIS, FRANCE 
GORGELIN, OLYMPIQUE LYONNAIS, FRANCE 
PAPE DIOP, OLYMPIQUE LYONNAIS, SPAIN 
GOUIRI, OLYMPIQUE LYONNAIS, FRANCE 
SOLET, OLYMPIQUE LYONNAIS, FRANCE 
RACIOPPI, OLYMPIQUE LYONNAIS, SWITZERLAND 
PINTOR, OLYMPIQUE LYONNAIS, FRANCE 
THAUVIN, OLYMPIQUE MARSEILLE, FRANCE 
PAYET, OLYMPIQUE MARSEILLE, FRANCE 
LUIZ GUSTAVO, OLYMPIQUE MARSEILLE, BRAZIL 
MANDANDA, OLYMPIQUE MARSEILLE, FRANCE 
STROOTMAN, OLYMPIQUE MARSEILLE, NETHERLANDS 
RAMI, OLYMPIQUE MARSEILLE, FRANCE 
SANSON, OLYMPIQUE MARSEILLE, FRANCE 
MITROGLOU, OLYMPIQUE MARSEILLE, GREECE 
SARR, OLYMPIQUE MARSEILLE, FRANCE 
PELÉ, OLYMPIQUE MARSEILLE, FRANCE 
SAKAI, OLYMPIQUE MARSEILLE, JAPAN 
OCAMPOS, OLYMPIQUE MARSEILLE, ARGENTINA 
GERMAIN, OLYMPIQUE MARSEILLE, FRANCE 
LOPEZ, OLYMPIQUE MARSEILLE, FRANCE 
N'JIE, OLYMPIQUE MARSEILLE, CAMEROON 
AMAVI, OLYMPIQUE MARSEILLE, FRANCE 
ROLANDO, OLYMPIQUE MARSEILLE, PORTUGAL 
KAMARA, OLYMPIQUE MARSEILLE, FRANCE 
ĆALETA-CAR, OLYMPIQUE MARSEILLE, CROATIA 
HUBOČAN, OLYMPIQUE MARSEILLE, SLOVAKIA 
ABDENNOUR, OLYMPIQUE MARSEILLE, TUNISIA 
SERTIC, OLYMPIQUE MARSEILLE, FRANCE 
RADONJIĆ, OLYMPIQUE MARSEILLE, SERBIA 
PERRIN, OLYMPIQUE MARSEILLE, FRANCE 
CHABROLLE, OLYMPIQUE MARSEILLE, FRANCE 
ROCCHIA, OLYMPIQUE MARSEILLE, FRANCE 
CAGNON, OLYMPIQUE MARSEILLE, FRANCE 
ESCALES, OLYMPIQUE MARSEILLE, FRANCE 
RONALDO, Juventus, PORTUGAL 
DYBALA, Juventus, ARGENTINA 
CHIELLINI, Juventus, ITALY 
DOUGLAS COSTA, Juventus, BRAZIL 
BONUCCI, Juventus, ITALY 
BENATIA, Juventus, MOROCCO 
PJANIĆ, Juventus, BOSNIA AND HERZEGOVINA 
ALEX SANDRO, Juventus, BRAZIL 
SZCZĘSNY, Juventus, POLAND 
BARZAGLI, Juventus, ITALY 
MATUIDI, Juventus, FRANCE 
PERIN, Juventus, ITALY 
JUAN CUADRADO, Juventus, COLOMBIA 
MANDŽUKIĆ, Juventus, CROATIA 
KHEDIRA, Juventus, GERMANY 
BERNARDESCHI, Juventus, ITALY 
CAN, Juventus, GERMANY 
RUGANI, Juventus, ITALY 
JOÃO CANCELO, Juventus, PORTUGAL 
DE SCIGLIO, Juventus, ITALY 
SPINAZZOLA, Juventus, ITALY 
BENTANCUR, Juventus, URUGUAY 
PINSOGLIO, Juventus, ITALY 
KEAN, Juventus, ITALY 
BRAHIMI, PORTO, ALGERIA 
CASILLAS, PORTO, SPAIN 
DANILO PEREIRA, PORTO, PORTUGAL 
FELIPE, PORTO, BRAZIL 
ALEX TELLES, PORTO, BRAZIL 
ABOUBAKAR, PORTO, CAMEROON 
JORGE, PORTO, BRAZIL 
ÓLIVER TORRES, PORTO, SPAIN 
TIQUINHO SOARES, PORTO, BRAZIL 
MAREGA, PORTO, MALI 
PEREIRA, PORTO, URUGUAY 
CORONA, PORTO, MEXICO 
HERRERA, PORTO, MEXICO 
OTÁVIO, PORTO, BRAZIL 
BAZOER, PORTO, NETHERLANDS 
AWAZIEM, PORTO, NIGERIA 
ADRIÁN, PORTO, SPAIN 
SÉRGIO OLIVEIRA, PORTO, PORTUGAL 
FABIANO, PORTO, BRAZIL 
HERNÂNI, PORTO, PORTUGAL 
MBEMBA, PORTO, CONGO DR 
ÉDER MILITÃO, PORTO, BRAZIL 
VANÁ, PORTO, BRAZIL 
JOÃO PEDRO, PORTO, BRAZIL 
DIOGO LEITE, PORTO, PORTUGAL 
DIOGO COSTA, PORTO, PORTUGAL 
ANDRÉ PEREIRA, PORTO, PORTUGAL 
BRUNO COSTA, PORTO, PORTUGAL 
OUANDILMADJI, PORTO, CHAD 
NEYMAR, PSG, BRAZIL 
CAVANI, PSG, URUGUAY 
THIAGO SILVA, PSG, BRAZIL 
BUFFON, PSG, ITALY 
DI MARÍA, PSG, ARGENTINA 
MBAPPÉ, PSG, FRANCE 
MARQUINHOS, PSG, BRAZIL 
VERRATTI, PSG, ITALY 
DRAXLER, PSG, GERMANY 
DANI ALVES, PSG, BRAZIL 
AREOLA, PSG, FRANCE 
RABIOT, PSG, FRANCE 
KIMPEMBE, PSG, FRANCE 
MEUNIER, PSG, BELGIUM 
KURZAWA, PSG, FRANCE 
DIARRA, PSG, FRANCE 
JUAN BERNAT, PSG, SPAIN 
KEHRER, PSG, GERMANY 
HOUPO-MOTING, PSG, CAMEROON 
NKUNKU, PSG, FRANCE 
JESÉ, PSG, SPAIN 
WEAH, PSG, USA 
GEORGEN, PSG, FRANCE 
RIMANE, PSG, FRANCE 
DAGBA, PSG, FRANCE 
DIABY, PSG, FRANCE 
BERNEDE, PSG, FRANCE 
NSOKI, PSG, FRANCE 
CIBOIS, PSG, FRANCE 
LOZANO, PSV, MEXICO 
ZOET, PSV, NETHERLANDS 
DE JONG, PSV, NETHERLANDS 
HENDRIX, PSV, NETHERLANDS 
PEREIRO, PSV, URUGUAY 
ISIMAT-MIRIN, PSV, FRANCE 
SCHWAAB, PSV, GERMANY 
DUMFRIES, PSV, NETHERLANDS 
VIERGEVER, PSV, NETHERLANDS 
ANGELIÑO, PSV, SPAIN 
BERGWIJN, PSV, NETHERLANDS 
RAMSELAAR, PSV, NETHERLANDS 
THOMAS, PSV, NEW ZEALAND 
BEHICH, PSV, AUSTRALIA 
ROOM, PSV, CURAÇAO 
ROMERO, PSV, ARGENTINA 
GUTIÉRREZ, PSV, MEXICO 
SAINSBURY, PSV, AUSTRALIA 
MAURO JÚNIOR, PSV, BRAZIL 
ROSARIO, PSV, NETHERLANDS 
SADÍLEK, PSV, CZECH REPUBLIC 
MALEN, PSV, NETHERLANDS 
OBISPO, PSV, NETHERLANDS 
RIGO, PSV, BELGIUM 
TEZE, PSV, NETHERLANDS 
VERRETH, PSV, BELGIUM 
LUNDQVIST, PSV, SWEDEN 
VAN OSCH, PSV, NETHERLANDS 
GAKPO, PSV, NETHERLANDS 
ARMANI, RIVER PLATE, ARGENTINA 
PONZIO, RIVER PLATE, ARGENTINA 
SCOCCO, RIVER PLATE, ARGENTINA 
MARTÍNEZ, RIVER PLATE, ARGENTINA 
PINOLA, RIVER PLATE, ARGENTINA 
PRATTO, RIVER PLATE, ARGENTINA 
PÉREZ, RIVER PLATE, ARGENTINA 
QUINTERO, RIVER PLATE, COLOMBIA 
FERNÁNDEZ, RIVER PLATE, ARGENTINA 
MAIDANA, RIVER PLATE, ARGENTINA 
MORA, RIVER PLATE, URUGUAY 
MOREIRA, RIVER PLATE, PARAGUAY 
ZUCULINI, RIVER PLATE, ARGENTINA 
MARTÍNEZ, RIVER PLATE, ARGENTINA 
CASCO, RIVER PLATE, ARGENTINA 
MAYADA, RIVER PLATE, URUGUAY 
MONTIEL, RIVER PLATE, ARGENTINA 
DE LA CRUZ, RIVER PLATE, URUGUAY 
LUX, RIVER PLATE, ARGENTINA 
LOLLO, RIVER PLATE, ARGENTINA 
BORRÉ, RIVER PLATE, COLOMBIA 
BOLOGNA, RIVER PLATE, ARGENTINA 
PALACIOS, RIVER PLATE, ARGENTINA 
SIBILLE, RIVER PLATE, ARGENTINA 
AGUIRRE, RIVER PLATE, ARGENTINA 
FERREIRA, RIVER PLATE, ARGENTINA 
ÁLVAREZ, RIVER PLATE, ARGENTINA 
ROLLHEISER, RIVER PLATE, ARGENTINA 
GALLARDO, RIVER PLATE, ARGENTINA 
PETROLI, RIVER PLATE, ARGENTINA 
MARTÍNEZ, RIVER PLATE, ARGENTINA 
SOSA, RIVER PLATE, ARGENTINA 
DŽEKO, ROMA, BOSNIA AND HERZEGOVINA 
MANOLAS, ROMA, GREECE 
FAZIO, ROMA, ARGENTINA 
DE ROSSI, ROMA, ITALY 
PASTORE, ROMA, ARGENTINA 
NZONZI, ROMA, FRANCE 
KOLAROV, ROMA, SERBIA 
EL SHAARAWY, ROMA, ITALY 
PEROTTI, ROMA, ARGENTINA 
FLORENZI, ROMA, ITALY 
IVAN MARCANO, ROMA, SPAIN 
PELLEGRINI, ROMA, ITALY 
JUAN JESUS, ROMA, BRAZIL 
CRISTANTE, ROMA, ITALY 
SCHICK, ROMA, CZECH REPUBLIC 
KARSDORP, ROMA, NETHERLANDS 
KLUIVERT, ROMA, NETHERLANDS 
ÜNDER, ROMA, TURKEY 
OLSEN, ROMA, SWEDEN 
SANTON, ROMA, ITALY 
ĆORIĆ, ROMA, CROATIA 
MIRANTE, ROMA, ITALY 
PELLEGRINI, ROMA, ITALY 
DANIEL FUZATO, ROMA, BRAZIL 
BIANDA, ROMA, FRANCE 
ZANIOLO, ROMA, ITALY 
GRECO, ROMA, ITALY 
CARDINALLI, ROMA, ITALY 
NALDO, SCHALKE 04, BRAZIL 
FÄHRMANN, SCHALKE 04, GERMANY 
SANÉ, SCHALKE 04, SENEGAL 
NASTASIĆ, SCHALKE 04, SERBIA 
CALIGIURI, SCHALKE 04, ITALY 
KONOPLYANKA, SCHALKE 04, UKRAINE 
BURGSTALLER, SCHALKE 04, AUSTRIA 
HARIT, SCHALKE 04, MOROCCO 
UTH, SCHALKE 04, GERMANY 
OMAR MASCARELL, SCHALKE 04, SPAIN 
RUDY, SCHALKE 04, GERMANY 
STAMBOULI, SCHALKE 04, FRANCE 
BENTALEB, SCHALKE 04, ALGERIA 
OCZIPKA, SCHALKE 04, GERMANY 
BABA, SCHALKE 04, GHANA 
EMBOLO, SCHALKE 04, SWITZERLAND 
SCHÖPF, SCHALKE 04, AUSTRIA 
GEIS, SCHALKE 04, GERMANY 
SERDAR, SCHALKE 04, GERMANY 
DI SANTO, SCHALKE 04, ARGENTINA 
SKRZYBSKI, SCHALKE 04, GERMANY 
MCKENNIE, SCHALKE 04, USA 
LANGER, SCHALKE 04, AUSTRIA 
TEUCHERT, SCHALKE 04, GERMANY 
RIETHER, SCHALKE 04, GERMANY 
NÜBEL, SCHALKE 04, GERMANY 
MENDYL, SCHALKE 04, MOROCCO 
ZAHA, Crystal Palace, CÔTE D'IVOIRE 
SAKHO, Crystal Palace, FRANCE 
MILIVOJEVIĆ, Crystal Palace, SERBIA 
MEYER, Crystal Palace, GERMANY 
BENTEKE, Crystal Palace, BELGIUM 
TOMKINS, Crystal Palace, ENGLAND 
GUAITA, Crystal Palace, SPAIN 
VAN AANHOLT, Crystal Palace, NETHERLANDS 
TOWNSEND, Crystal Palace, ENGLAND 
DANN, Crystal Palace, ENGLAND 
MCARTHUR, Crystal Palace, SCOTLAND 
HENNESSEY, Crystal Palace, WALES 
SCHLUPP, Crystal Palace, GHANA 
KELLY, Crystal Palace, ENGLAND 
KOUYATÉ, Crystal Palace, SENEGAL 
WARD, Crystal Palace, ENGLAND 
AYEW, Crystal Palace, GHANA 
RIEDEWALD, Crystal Palace, NETHERLANDS 
SØRLOTH, Crystal Palace, NORWAY 
SOUARÉ, Crystal Palace, SENEGAL 
PUNCHEON, Crystal Palace, ENGLAND 
WICKHAM, Crystal Palace, ENGLAND 
SPERONI, Crystal Palace, ARGENTINA 
WILLIAMS, Crystal Palace, WALES 
WAN-BISSAKA, Crystal Palace, ENGLAND 
KAIKAI, Crystal Palace, ENGLAND 
HENRY, Crystal Palace, ENGLAND 
WOODS, Crystal Palace, ENGLAND 
MCGREGOR, Crystal Palace, ENGLAND 
BELOTTI, TORINO, ITALY 
N'KOULOU, TORINO, CAMEROON 
IAGO FALQUÉ, TORINO, SPAIN 
ZAZA, TORINO, ITALY 
IZZO, TORINO, ITALY 
SIRIGU, TORINO, ITALY 
SORIANO, TORINO, ITALY 
DE SILVESTRI, TORINO, ITALY 
RINCÓN, TORINO, VENEZUELA 
ANSALDI, TORINO, ARGENTINA 
BASELLI, TORINO, ITALY 
DJIDJI, TORINO, CÔTE D'IVOIRE 
ÁLEX BERENGUER, TORINO, SPAIN 
MORETTI, TORINO, ITALY 
MEÏTÉ, TORINO, FRANCE 
LYANCO, TORINO, BRAZIL 
LUKIĆ, TORINO, SERBIA 
EDERA, TORINO, ITALY 
AINA, TORINO, NIGERIA 
ROSATI, TORINO, ITALY 
PARIGINI, TORINO, ITALY 
ICHAZO, TORINO, URUGUAY 
BREMER, TORINO, BRAZIL 
DAMAŞCAN, TORINO, MOLDOVA 
FERIGRA, TORINO, ECUADOR 
MARCHISIO, ZENIT, ITALY 
PAREDES, ZENIT, ARGENTINA 
IVANOVIĆ, ZENIT, SERBIA 
KOKORIN, ZENIT, RUSSIA 
NOBOA, ZENIT, ECUADOR 
SHATOV, ZENIT, RUSSIA 
SMOLNIKOV, ZENIT, RUSSIA 
MAMMANA, ZENIT, ARGENTINA 
LUNEV, ZENIT, RUSSIA 
KUZYAEV, ZENIT, RUSSIA 
ZHIRKOV, ZENIT, RUSSIA 
DZYUBA, ZENIT, RUSSIA 
MAK, ZENIT, SLOVAKIA 
KRANEVITTER, ZENIT, ARGENTINA 
DRIUSSI, ZENIT, ARGENTINA 
EROKHIN, ZENIT, RUSSIA 
LODYGIN, ZENIT, RUSSIA 
MEVLJA, ZENIT, SLOVENIA 
LUÍS NETO, ZENIT, PORTUGAL 
ZABOLOTNYI, ZENIT, RUSSIA 
NABIULLIN, ZENIT, RUSSIA 
ANYUKOV, ZENIT, RUSSIA 
OZDOEV, ZENIT, RUSSIA 
HERNANI, ZENIT, BRAZIL 
CHERNOV, ZENIT, RUSSIA 
KERZHAKOV, ZENIT, RUSSIA 
TERENTJEV, ZENIT, RUSSIA 
SKROBOTOV, ZENIT, RUSSIA 
BOGAEV, ZENIT, RUSSIA 
