ZIYECH, AJAX, MOROCCO 
JUAN BERROCAL, Sevilla, SPAIN 
JUAN SORIANO, Sevilla, SPAIN 
AUBAMEYANG, ARSENAL, GABON 
ÖZIL, ARSENAL, GERMANY 
MKHITARYAN, ARSENAL, ARMENIA 
LACAZETTE, ARSENAL, FRANCE 
LENO, ARSENAL, GERMANY 
SOKRATIS,  ARSENAL, GREECE 
RAMSEY, ARSENAL, WALES 
KOSCIELNY, ARSENAL, FRANCE 
ČECH, ARSENAL, CZECH REPUBLIC 
XHAKA, ARSENAL, SWITZERLAND 
NACHO MONREAL, ARSENAL, SPAIN 
MUSTAFI, ARSENAL, GERMANY 
HECTOR BELLERÍN, ARSENAL, SPAIN 
LICHTSTEINER, ARSENAL, SWITZERLAND 
KOLAŠINAC, ARSENAL, BOSNIA AND HERZEGOVINA 
TORREIRA, ARSENAL, URUGUAY 
WELBECK, ARSENAL, ENGLAND 
ELNENY, ARSENAL, EGYPT 
IWOBI, ARSENAL, NIGERIA 
HOLDING, ARSENAL, ENGLAND 
MARTÍNEZ, ARSENAL, ARGENTINA 
MAITLAND-NILES, ARSENAL, ENGLAND 
JENKINSON, ARSENAL, ENGLAND 
MAVROPANOS, ARSENAL, GREECE 
GUENDOUZI, ARSENAL, FRANCE 
NKETIAH, ARSENAL, ENGLAND 
SMITH ROWE, ARSENAL, ENGLAND 
MESSI, BARCELONA, ARGENTINA 
SUÁREZ, BARCELONA, URUGUAY 
PIQUÉ, BARCELONA, SPAIN 
COUTINHO, BARCELONA, BRAZIL 
TER STEGEN, BARCELONA, GERMANY 
VIDAL, BARCELONA, CHILE 
SERGIO BUSQUETS, BARCELONA, SPAIN 
UMTITI, BARCELONA, FRANCE 
RAKITIĆ, BARCELONA, CROATIA 
JORDI ALBA, BARCELONA, SPAIN 
DEMBÉLÉ, BARCELONA, FRANCE 
SERGI ROBERTO, BARCELONA, SPAIN 
MALCOM, BARCELONA, BRAZIL 
LENGLET, BARCELONA, FRANCE 
CILLESSEN, BARCELONA, NETHERLANDS 
RAFINHA, BARCELONA, BRAZIL 
ARTHUR, BARCELONA, BRAZIL 
NÉLSON SEMEDO, BARCELONA, PORTUGAL 
VERMAELEN, BARCELONA, BELGIUM 
DENIS SUÁREZ, BARCELONA, SPAIN 
MUNIR, BARCELONA, SPAIN 
CARLES ALEÑÀ, BARCELONA, SPAIN 
SERGI SAMPER, BARCELONA, SPAIN 
JOKIN EZKIETA, BARCELONA, SPAIN 
BAILEY, BAYER LEVERKUSEN, JAMAICA 
HRADECKY, BAYER LEVERKUSEN, FINLAND 
BRANDT, BAYER LEVERKUSEN, GERMANY 
TAH, BAYER LEVERKUSEN, GERMANY 
BENDER, BAYER LEVERKUSEN, GERMANY 
ALARIO, BAYER LEVERKUSEN, ARGENTINA 
VOLLAND, BAYER LEVERKUSEN, GERMANY 
BENDER, BAYER LEVERKUSEN, GERMANY 
ARÁNGUIZ, BAYER LEVERKUSEN, CHILE 
WENDELL, BAYER LEVERKUSEN, BRAZIL 
BELLARABI, BAYER LEVERKUSEN, GERMANY 
WEISER, BAYER LEVERKUSEN, GERMANY 
HAVERTZ, BAYER LEVERKUSEN, GERMANY 
DRAGOVIĆ, BAYER LEVERKUSEN, AUSTRIA 
RETSOS, BAYER LEVERKUSEN, GREECE 
BAUMGARTLINGER, BAYER LEVERKUSEN, AUSTRIA 
KOHR, BAYER LEVERKUSEN, GERMANY 
JEDVAJ, BAYER LEVERKUSEN, CROATIA 
PAULINHO, BAYER LEVERKUSEN, BRAZIL 
POHJANPALO, BAYER LEVERKUSEN, FINLAND 
THELIN, BAYER LEVERKUSEN, SWEDEN 
ÖZCAN, BAYER LEVERKUSEN, AUSTRIA 
KIRSCHBAUM, BAYER LEVERKUSEN, GERMANY 
SCHRECK, BAYER LEVERKUSEN, GERMANY 
BEDNARCZYK, BAYER LEVERKUSEN, POLAND 
KUCZ, BAYER LEVERKUSEN, POLAND 
JONAS, BENFICA, BRAZIL 
FEJSA, BENFICA, SERBIA 
SALVIO, BENFICA, ARGENTINA 
PIZZI, BENFICA, PORTUGAL 
JARDEL, BENFICA, BRAZIL 
ÁLEX GRIMALDO, BENFICA, SPAIN 
LEMA, BENFICA, ARGENTINA 
SAMARIS, BENFICA, GREECE 
CONTI, BENFICA, ARGENTINA 
RAFA SILVA, BENFICA, PORTUGAL 
CERVI, BENFICA, ARGENTINA 
ŽIVKOVIĆ, BENFICA, SERBIA 
FERREYRA, BENFICA, ARGENTINA 
ANDRÉ ALMEIDA, BENFICA, PORTUGAL 
GABRIEL, BENFICA, BRAZIL 
RÚBEN DIAS, BENFICA, PORTUGAL 
CASTILLO, BENFICA, CHILE 
KROVINOVIĆ, BENFICA, CROATIA 
LUISÃO, BENFICA, BRAZIL 
TAARABT, BENFICA, MOROCCO 
CORCHIA, BENFICA, FRANCE 
BRUNO VARELA, BENFICA, PORTUGAL 
SEFEROVIĆ, BENFICA, SWITZERLAND 
YURI RIBEIRO, BENFICA, PORTUGAL 
